bioSample,geoLocation,isoSource,sampleName,strain,title
SAMN02911564,Korea,South Korea clinic6 ,*,0A117DS ,ASM73607v1
SAMN03257093,China,Human sputum ,*,2279 ,ASM154493v1
SAMN03253054,*,not applicable ,*,F1 ,ASM154467v1
SAMN03257092,China,Human sputum ,*,2242 ,ASM154489v1
SAMN02595305,*,*,*,T46 ,ASM15973v1
SAMEA968089,Netherlands: Amsterdam,*,ERS007737 ,N09901774 ,6505_5#8
SAMN06203364,"India: Punjab, Gurdasspur",missing ,*,AIIMS/LM/SS/PTB/Beijing2/L-823 ,ASM210469v1
SAMEA968097,Netherlands: Amsterdam,*,ERS007728 ,N00000221 ,6505_5#3
SAMEA1019105,United Kingdom: Midlands,*,ERS027653 ,Bir 179 ,6540_3#11
SAMEA968096,Netherlands: Amsterdam,*,ERS007672 ,E09701891 ,6505_1#1
SAMEA968090,Netherlands: Amsterdam,*,ERS007734 ,N09901297 ,6505_5#7
SAMN03257095,China,Human sputum ,*,37004 ,ASM154498v1
SAMEA968201,Netherlands: Amsterdam,*,ERS007703 ,K00500041 ,6505_2#10
SAMEA968165,Netherlands: Amsterdam,*,ERS007733 ,N09901618 ,6505_5#6
SAMEA968138,Netherlands: Amsterdam,*,ERS007724 ,M00102039 ,6505_5#1
SAMN04478384,Northern Mariana Islands: Rota,Patient ,*,11L4601 ,ASM204072v1
SAMN06760364,"India: Punjab, Jalandhar",sputum ,*,AIIMS/LM/SS/PTB/CAS/L-31 ,ASM219304v1
SAMN06761088,"India: Punjab, Roopnagar",sputum ,*,AIIMS/LM/SS/PTB/Beijing/L-182 ,ASM219307v1
SAMN02630624,India: Chennai,SPUTUM ,*,CWCFVRF MDRTB 670 ,VRF CWCF MDR 670
SAMN02741280,India: Chennai,Sputum ,*,VRFCWCF MRTB180 ,VRFCWCF MRTB180
SAMN02595228,*,*,*,T85 ,ASM15524v1
SAMN02595209,*,*,*,C ,ASM15250v1
SAMN02595227,*,*,*,EAS054 ,ASM15522v1
SAMN02595224,*,*,*,94_M4241A ,ASM15514v1
SAMN02595225,*,*,*,02_1987 ,ASM15516v1
SAMN02911574,Korea,South Korea clinic16 ,*,0A005DS ,ASM73627v1
SAMN02911569,Korea,South Korea clinic11 ,*,0A036DS ,ASM73619v1
SAMN06854786,Mexico: Michoacan,cerebrospinal fluid ,*,Beijing ,ASM289506v1
SAMN02911570,Korea,South Korea clinic12 ,*,0A033DS ,ASM73621v1
SAMN02911571,Korea,South Korea clinic13 ,*,0A087DS ,ASM73617v1
SAMN02911573,Korea,South Korea clinic15 ,*,0A012DS ,ASM73625v1
SAMN02911567,Korea,South Korea clinic9 ,*,0A093DS ,ASM73613v1
SAMN02911568,Korea,South Korea clinic10 ,*,0A092DS ,ASM73615v1
SAMN02911572,Korea,South Korea clinic14 ,*,0A029DS ,ASM73623v1
SAMN02911582,Korea,South Korea clinic24 ,*,0B026XDR ,ASM73605v1
SAMN02911566,Korea,South Korea clinic8 ,*,0A094DS ,ASM73611v1
SAMN02911565,Korea,South Korea clinic7 ,*,0A115DS ,ASM73609v1
SAMN02911581,Korea,South Korea clinic23 ,*,0B049XDR ,ASM73603v1
SAMN02911575,Korea,South Korea clinic17 ,*,0B169XDR ,ASM73595v1
SAMN02911578,Korea,South Korea clinic20 ,*,0B076XDR ,ASM73599v1
SAMN02911576,Korea,South Korea clinic18 ,*,0B123ND ,ASM73597v1
SAMN02911563,Korea,South Korea clinic5 ,*,0B218DS ,ASM73593v1
SAMN02911561,Korea,South Korea clinic3 ,*,0B228DS ,ASM73589v1
SAMN02911579,Korea,South Korea clinic21 ,*,0B070XDR ,ASM73601v1
SAMN02911577,Korea,South Korea clinic19 ,*,0B329XDR ,ASM73581v1
SAMN02911560,Korea,South Korea clinic2 ,*,0B229DS ,ASM73587v1
